,text,abuse
70,"RT @CarolineVoaden: So Priti, @patel4witham 
Who’ll fill the coronation chicken sandwiches?
Who’ll dig cauliflowers out of freezing muddy Cornish fields?
Who’ll wash the hospital bedpans?
Who’ll clean our offices at night?
Who’ll feed, bathe and care for our most vulnerable?
Asking for a friend...",0
71,@legallyginge @kane_blackwell @patel4witham The highly competent Patel is going to show that pathetic shambles what it means to deliver Brexit and she has the country behind her,0
72,@lorraine1locked So true @BorisJohnson @patel4witham @Jacob_Rees_Mogg @bernardjenkin,0
73,RT @WestminsterWAG: There is more than a whiff of misogyny in all this stuff about @patel4witham,0
74,"RT @UKUSpage: WOW!

In other words, they do not give a flying F*CK about the danger all British girls, are currently in!

Instead, for the sake of diversity, they will not release the fact that it is cultural problems, that are to blame!

@patel4witham release now.

This is FU**ING OUTRAGOUS! https://t.co/A02LKQEP7S",0
75,@BorisJohnson @patel4witham @metpoliceuk @SadiqKhan https://t.co/sDq2lGvaM9,0
76,"@Briankelly127 @ukhomeoffice @patel4witham You’re absolutely right, I don’t know what goes on. However, following Brexit I’m sure there’s going to be some political upheaval. Whatever happens, I hope it’s what the people from both sides of the border want, and that it happens fairly and peacefully.",0
77,"RT @mosheholt: ""The Officials "" want to run the country the way they see it. but the ""Officials"" haven't been elected to carry out policy and they aren't obligated for responsibility. @patel4witham ,keep doing your job despite the crocodile tears. 
 https://t.co/M6ZpZ8zd3b",0
80,@ActionBrexit @Phoebejoy1611 @patel4witham She is not a Right Wing cult leader. When you are sober of thought and feeling a little “ Kinder” you will thank this young woman for pointing out the obvious. ☘️☘️☘️☘️,0
81,"Tory BULLY @patel4witham
@Channel4News
@BBCNews
@euronews
Another USELESS Tory
SACK her BORIS @10DowningStreet

https://t.co/zfawCtJO8q",0
82,@legallyginge @DVATW @GretaThunberg @patel4witham Dear,0
83,"@legallyginge @DVATW @GretaThunberg @patel4witham As an ex science teacher with a first class BSc, I don’t agree. It’s propaganda.",0
84,@legallyginge @kane_blackwell @patel4witham Minions - over paid over rated minions here to serve the country not their own narrow bigoted interests as they think they are superior rep of an establishment nobody wants anymore,0
85,Is this true @patel4witham? The most significant part of this story by @ShippersUnbound is the final sentence - that MI5 does not trust the Home Secretary. https://t.co/fhHziurUq6,0
86,The idleness of @BorisJohnson - and how MI5 doesn't trust Priti Patel @patel4witham !!! https://t.co/BqnNbshfON,0
88,"RT @SholaMos1: @thetimes 🙄 The ridiculousness of @patel4witham @BorisJohnson, @Conservatives &amp; #Brexit

#bluepassport to be made in Poland by French/Dutch company - so in effect:

'Made in Europe'

Where's your pride uh?

🤔Why aren't British #passports made in Britain?
#BorisJohnson #PritiPatel https://t.co/w9HfquvFVJ",0
89,@Winter_UKIP @GretaThunberg @bristolYS4C @patel4witham @NickFerrariLBC @ford4gloucester @Nigel_Farage Exactly https://t.co/T9G0Aqp0Ga,0
90,RT @VictorOlliver: @WestminsterWAG @patel4witham Sarah Vine's essential problem is that she's a Government voice masquerading as a journalistic one. The ever-snobbish Mail thinks it clever to have a Cabinet minister's sidekick on the payroll. In reality it is risible.,0
92,@ActionBrexit @Carter7Raymond @patel4witham https://t.co/eNOws2zr07,0
93,@RussellShea @AndreiACDC_ENG @REACHHomes1 @1PJones1 @ukhomeoffice @RobDelyn @ObserverUK @patel4witham #thick,0
94,"@WestminsterWAG @patel4witham No there isn't, I've smelt the air and it's definitely not misogyny imo",0
95,"@ReneTrevor @ukhomeoffice @patel4witham @BorisJohnson It is wickedness. They are literarily wasting peoples life. Boris Johnson lied to assist people with irregular papers but since he won the election, nothing has been said abt it. They treat foreigners with so much hatred.",0
96,@legallyginge @RobertWernh @ManMadeMoon @Jetworld @SebDance @ukhomeoffice @patel4witham https://t.co/t5EAcfA0Sc,0
97,@legallyginge @kane_blackwell @patel4witham Ooh its happened - listen to you - do u think we are still in the school playground? as we are human we all make mistakes im sure you have made a few clangers - but we move on and in the case of Boris and Patel it is too deliver what the country voted for if u dont like it tough,0
98,@Shelltop8 Yay @patel4witham,0
99,"RT @MartinDaubney: @hermannkelly @CarolineVoaden @patel4witham The reason she kicked off was I repeated the factual statement made minutes earlier by Ursula Von der Leyen that the EU wanted to build an army. They screamed “liar!” while I was live on ITV, which was utterly delusional. They’d been at the same speech 😩",0
100,"RT @NevilleSouthall: @bpas1968 @patel4witham @jeremycorbyn @EmilyThornberry @CatherineWest1 @DavidLammy @NatCen So as a society we believe women should have the right to choose to have an abortion. But our law doesn't say that.

Did you know that in England, Wales, and Scotland any woman who ends a pregnancy without permission from 2 doctors could face up to life imprisonment? @bpas1968 https://t.co/ea5P5Bu1x9",0
102,@HuguenotHouse Yep and now this (technical word) tosser: https://t.co/CDu6tDQ8g0 and @patel4witham wish that we would 'work' as well.,0
103,@MarcMiller23 @patel4witham Carry on with the good work Priti,0
104,RT @MarcMiller23: She’s winning the hearts of the nation 🇬🇧 @patel4witham https://t.co/nvfFedVzmT,0
105,Please @BBCPolitics stop your madness. Please @BorisJohnson and @patel4witham . Just stop this racist dribble. 🙏🏻 https://t.co/nxASErmPgM,0
106,"RT @Lesrad66: @CllrBSilvester They don't want to release the truth, because it will.cause a nationwide scandal and people will then realise the true extent of the danger to young girls in our country..@BorisJohnson and @patel4witham we have a right to be informed!",0
107,"@legallyginge @RobertWernh @ManMadeMoon @Jetworld @SebDance @ukhomeoffice @patel4witham And you believe that she is the only one taking money from the state? She is one of thousands of people using similar ""issues"" to avoid working for a living. Seen plenty of stories of ""disabled"" people who claim while being able bodied.",0
108,@EssexView @SkyNews @patel4witham Imagine getting that triggered because of a 17 year old girl lol... I’d be asking serious questions about myself if that were me,0
109,"@Winter_UKIP @GretaThunberg @bristolYS4C @patel4witham @NickFerrariLBC @ford4gloucester @Nigel_Farage Oh, goody, another fascist for everyone to block.",0
110,"RT @StuartBudd1: You will be sacked when your immigration system fails @patel4witham 

Your cards are marked already and everyone is telling you why your immigration system will fail.

https://t.co/KzOsfFfEUm",0
111,@tridadofsix @JudyWeb92176381 @DeanMaisey @Jetworld @SebDance @ukhomeoffice @patel4witham Educational tweet well thank you elite british person.,0
112,"@joewhite1010 @Gaz1849 @SebDance @ukhomeoffice @patel4witham Isn't required to. Still, didn't get fined for misuse of funds unlike St Farage the almighty, that champion of virtue.
https://t.co/UPTQCSVzHb",0
113,"RT @MarkHiggie1: The Home Office wants to derail @patel4witham in her determination to crack down on crime, including getting police to take a more muscular approach against climate protesters. Disappointing that @thetimes supporting the Whitehall campaign against her. https://t.co/DjVJwwF71P",0
114,"RT @celtjules66: Priti Patel branded a 'hypocrite' as violent crime in her constituency doubles - Mirror Online
As she’s trending it seems fitting to remind ⁦@patel4witham⁩ to clean up her own back yard.
The police station is closed and is now offices.
#ToryBritain  https://t.co/Qixq8MljEZ",0
115,"@stamford_dan @AnthonyMortlock @MarkCunliffe76 @RemainerNow @patel4witham @BorisJohnson I suspect,  like the colour, it's symbolic... 

Hello again.  Just checking in to say I'm still up for hearing back :)",0
116,@ActionBrexit @patel4witham Is she walking to the UK and swimming the channel?,0
117,@stamford_dan @AnthonyMortlock @MarkCunliffe76 @RemainerNow @patel4witham @BorisJohnson A great example of Little England think!,0
118,"@BeddoeRoger @patel4witham Believe it when I see it. Javid said all the right things, did nowt.",0
119,@SheilaHiggins15 @JeffreyPeel @deirdreheenan @patel4witham Slagging the UK off but happy to take tax payers money.  Has that made it clearer for you 🙄.  FYI your hashtag is no longer relevant 😁,0
120,RT @Catlady19641: @KTHopkins @patel4witham Labour are crying out for windrush report to be released but are keeping quiet on this one...wonder why🤔🤔🤔,0
121,"RT @Goddess1345: So @patel4witham, you were saying? https://t.co/NCE21h6UgT",0
122,@ReddSab @hopeful42700809 @deirdreheenan @patel4witham Obviously you must have missed the British citizenship part.,0
123,"@ObserverUK view on the government’s immigration plans
@BorisJohnson @Conservatives @patel4witham #Immigration
https://t.co/qwBicM9f82",0
125,"@ginyedaur603 @JustSayNope @KaymakAlexander @ukhomeoffice @Conservatives @BorisJohnson @patel4witham There’s nothing wrong in the old passport is there so no need to change it , for what",0
126,Is it time we drug test suspected students  at schools? @patel4witham,0
127,There was never a Brexit plan. Now we have one that will destroy the UK. @BorisJohnson @patel4witham @Channel4News @BBCNews @itvnews @SkyNews @Keir_Starmer https://t.co/IVOPCKfwu7,0
128,RT @LanceForman: Extraordinary.  EVERY TIME I read Matthew Parris in @thetimes I totally disagree with him. He’s far better suited to the Guardian.He gets it wrong EVERY TIME. And wrong again now with @patel4witham here who is finally making much needed waves in the Home Office. Keep it up Priti! https://t.co/Fuyn3C3TLz,0
129,"@dcolgan1 @9000Computer @deirdreheenan @patel4witham Psst Dom, it doesn't.",0
130,"@GreyEva1 @JonHolb Part of the problem all along (finally acknowledged), is that the risk of causing cultural division/societal backlash (which I get), has been placed above the risk to children.
Arguably, not publishing, simply continues that, and repeats the mistakes of the past.
@patel4witham",0
131,"@BameFor @BorisJohnson @patel4witham the HO and the Home Secretary by not fast tracking compensation and also by not taking the injustices against the windrush generation seriously are telling us that in no uncertain terms FUCK YOU, there can be no doubt about this, we are",0
133,@youdidntseemeok @deirdreheenan @patel4witham Dark blue a new phenomenon for you is it 🙄  You're mind will be truly blown when you see bendy bananas then. 😁,0
134,@patel4witham I strongly agree with this. https://t.co/zhdBv5uO0l,0
135,@ginyedaur603 @the_bearjack @KaymakAlexander @JustSayNope @paulbevan @ukhomeoffice @Conservatives @BorisJohnson @patel4witham That’s incorrect.,0
136,@BorisJohnson @patel4witham sort this scandal out NOW https://t.co/RBYx1dKw7Y,0
137,@ElinorEusceptic @kane_blackwell @patel4witham Johnson is a proven liar- and has been fired for it. You might note- he is not in a ditch. Also- Patel was fired for lying about a holiday in Israel. You can’t rewrite history- it’s happened and is still relevant,0
138,"RT @markkee_mark: Not in the Public Interest? @BorisJohnson @patel4witham are you shitting us? 
Remember who gave you that stonking majority and why!

Government refuses to release grooming gangs review because it is 'not in public interest' https://t.co/3pL3VpYhxA",0
140,"Do @BorisJohnson &amp; @patel4witham realise that we hate the people in positions of trust and authority who provided cover for the rape gangs even more than the rape gangs themselves? These were mostly Labour people, but now @Conservatives are covering-up too
https://t.co/nbCSe0tRZA",0
141,@guikasema @deirdreheenan @patel4witham Well said.,0
143,"God help these people in the future if the tractor driver was Polish and the care workers Romanian @patel4witham BBC News - Storm Dennis: Care home staff carried through floods by tractor
https://t.co/WE8Rcuzg14",0
144,@youdidntseemeok @deirdreheenan @patel4witham Spot someone who doesn't travel much that thinks UK leaving the EU means bigger queues at immigration 🙄,0
145,"@nadams said it's ""essential that free movement for artists is protected post-2020."" Post-Brexit, @DeborahAnnetts @ISM_music
says UK is “shooting ourselves in the foot"" shutting out artists who are the lifeblood of UK's £111bn culture sector @patel4witham
https://t.co/FYE3JVCGi3",0
146,@kondor_anna @MarcMiller23 @ugrifter @patel4witham Have you looked in the mirror lately?,0
147,@patel4witham. Your fault. https://t.co/JOufSz9Zp8,0
148,RT @HappyxManda: @CandyNimrod @ArthurBraby @DVaugha49207961 @OldCodger15 @anoldbaglady @patel4witham @Iromg I honestly don't think @patel4witham will do anything about this no one ever does. I think it will finish in riots.,0
149,@HappyxManda @pam30301 @CandyNimrod @ArthurBraby @DVaugha49207961 @OldCodger15 @anoldbaglady @patel4witham @Iromg She is trying but is being blocked by the House of Lords!  @patel4witham @BorisJohnson The House of Lords needs to be abolished once and for all!,0
151,@legallyginge @the_bearjack @KaymakAlexander @JustSayNope @paulbevan @ukhomeoffice @Conservatives @BorisJohnson @patel4witham No you don’t. Anyone in the world is entitled to move to the EU. The checks and balances that are in place are largely ignored.,0
152,@Malc_Armstrong @RobertWernh @ManMadeMoon @Jetworld @SebDance @ukhomeoffice @patel4witham So you think that the one person this morning could scrounge up is representative of the majority? She is not. And more to the point- she’s proof that working was better for her finances than notZ,0
153,"@a2eny @SebDance @ukhomeoffice @patel4witham Yep, we always controlled our borders and could have tightened the controls should our gov't had wanted to.",0
155,@B1987Luke @colinmaxwellasa @deirdreheenan @patel4witham It really has pretty much been the only policy they’ve had since 2016z,0
156,@Evilgenius222 @thetimes @chunkymark @patel4witham We’ve said that about all the leftie remoaners! 🤣,0
157,@B1987Luke @deirdreheenan @patel4witham You have seen the press release from the Home Office- right? 🤔,0
158,"RT @carryonretired: I’d forgotten about this, but what does it say about the referendum if this was the level of debate over the most important peace-time decision made by the UK. 

Ironically I doubt many of these chefs will get enough points under @patel4witham new immigration rules. https://t.co/JFQimvlkac",0
159,@legallyginge @kane_blackwell @patel4witham Neither are Boris or Patel incompetent liars they have just delivered one of the best election victories in decades - if you dont like it tough,0
160,"@Shappy_C @gary_d_carter @SebDance @ukhomeoffice @patel4witham Of course not, but there will a border in the Irish sea or between NI and ROI. Thats for sure",0
161,@JustSayNope @KaymakAlexander @paulbevan @ukhomeoffice @Conservatives @BorisJohnson @patel4witham How daft are you? There’s big queues of people trying their hardest to get into North Korea isn’t there? People risking life and limb on dingy’s paddling across the most congested sea crossing on the planet  to get there? 😂😂,0
163,@GrumpyOldLab @JemimaPassmore @kashalfscouse @patel4witham And you can break the law and suffer the consequences.,0
164,@SebDance @ukhomeoffice @patel4witham A price worth paying for sovereignty chap. 😁🇬🇧🇬🇧,0
165,@legallyginge @kane_blackwell @patel4witham The Establishment said Brexit wasnt feasible. we had project fear in spades - now Boris &amp; Patel are telling these over paid minions the country kicked out project fear &amp; we are delivering Brexit &amp; if they dont like it they can move on &amp; lets get dynamic people who can deliver,0
166,"@SebDance @ukhomeoffice @patel4witham Ahh did you lose your big wage, your chauffeur driven car, your high life with all the free food and wine? Brilliant just brilliant! We don’t have to pay for you any longer! Have you got a proper job yet? 😂",0
167,"@mosheholt @AtheistMayhem @patel4witham Priti we're behind you as our ELECTED representative. Sack the no sayers, clear out the civil servants now!",0
168,"RT @stemwood: The public already knows !! @ukhomeoffice @patel4witham We know !  You know we know, the #Muslim rape gangs know we know,  the wider Muslim community knows we know.  #Rotherham #Rochdale #Huddersfield #groominggangs #RapeGangs #HomeOfice #UKHomeOffice https://t.co/OvneFoeYrT",0
169,@geoffreyMyers1 @LeslieH24367191 @MailOnline @patel4witham These people have had it their own way for too long.,0
170,@legallyginge @RobertWernh @ManMadeMoon @Jetworld @SebDance @ukhomeoffice @patel4witham https://t.co/w6aXRSLPJr,0
171,@ThatTimWalker Assume this because @patel4witham and her back channel dealing with Israel or political?,0
172,"@ukhomeoffice Hey @patel4witham I’d like to buy a batch, can you remind me where you’re sourcing them from? #FacePalm",0
174,"RT @Bren55UK: What is the point of The House of Lords? This is ridiculous !
@BorisJohnson
@patel4witham
https://t.co/baovaQ0ey1",0
175,"@legallyginge @colinmaxwellasa @deirdreheenan @patel4witham That doesnt mention colour
.. only from a remainer",0
177,@lienomail #UK The clue is. 700 x AK47  found in a mosque in #France   wake up #Europe.  How many armoury on #UK soil @BorisJohnson  @patel4witham pritipatel @DominicRaab  @HouseofCommons  ??,0
178,"Don't worry, @patel4witham isn't going anywhere. https://t.co/aC02yH7ldO",0
180,"@legallyginge @deirdreheenan @patel4witham But remainers are the ones mentioning it 🤷‍♂️ colour, heritage etc etc, bizarre indeed.
But ofcourse with us having new passports they should keep it on the low 😏 why an earth wouldn't they flash it",0
182,@ukhomeoffice Glad to see you’re taking responsibility for massively reducing the value of the UK passport @Conservatives @patel4witham https://t.co/XAibBXG8vB,0
183,"@DVATW @GretaThunberg @patel4witham Firstly, she should be dbs checked.

Anything she presents should be vetted to ensure it’s kept relevant to the curriculum.",0
185,@B1987Luke @colinmaxwellasa @deirdreheenan @patel4witham As a result of Brexit policy,0
186,"@JemimaPassmore @kashalfscouse @patel4witham Illegally disrupting children's education is not a valid way to ""raise awareness"". Neither is vandalism or blocking ambulances getting to hospitals (also seen from XR recently). I don't agree with you, but in a democracy you are free to make your point without law-breaking.",0
187,@andiedarlington @patel4witham Good point!,0
188,"Are these the blue passports we could have had at any time we wanted?
@patel4witham https://t.co/IFo4mg2MgK https://t.co/fX1xOW33st",0
189,That last sentence @patel4witham And in a @Conservatives supporting paper too. https://t.co/9CAvsXjn4C,0
190,"@WestminsterWAG @patel4witham Of course there is. Just like there's more than a whiff of androgyny in all this stuff about Johnson, Gove, Sunak etc. 

People are entitled to despise her as a vile specimen of the human race without being accused of misogyny.",0
191,@Malc_Armstrong @RobertWernh @ManMadeMoon @Jetworld @SebDance @ukhomeoffice @patel4witham So- you think that people who are so desperate to avoid work they lied to get less than minimum wage are the problem?,0
192,"RT @loishyett: Dear @patel4witham I was accused of bullying by a member of my staff, once investigation was completed it was discovered that he didn’t like women in superior positions. Incompetence is also a reason for bullying accusations. Wishing you the best",0
193,"@MaggieOliverUK well said.

@patel4witham @Conservatives @BorisJohnson would do well to remind themselves of this. 

Let's fight PC/wokeness and get back to the real world. Protecting citizens!

@piersmorgan @GMB @LozzaFox @TheSun @JamesCleverly @thesundaytimes @afneil @PrisonPlanet @LBCNews",0
194,@B1987Luke @deirdreheenan @patel4witham What a bizarre argument in view of Johnson and Patel flashing it about- it wasn’t aimed at Remainers,0
195,"@nigrugthug @nigella_i5e @patel4witham @UKCivilService You really are missing my meaning. I do know we have a problem with our civil service, shall we agree to agree?",0
196,"RT @BFuttock: I stand with @patel4witham 

Absolutely love this woman, she is just brilliant! #UpTheBoris #InDomWeTrust",0
197,@BeddoeRoger @patel4witham Does your Government have a Greater Number than ZERO ?? 🙄☺️☺️,0
198,"@Reniour @BorisJohnson @patel4witham what have you got to hide?
The public has a right to know in order to protect our children!",0
199,@RobWhyte6 @LisaKem31217583 @Independent @BorisJohnson @patel4witham Thanks for the source. Don’t get me wrong- the police and Home Office should be pursuing and investigating this with full vigour- but it isn’t the country’s and our elected leaders’ most pressing issue.,0
200,@Jamesara @bruce_bwkm @patel4witham Apparently Doctor Shipman always carried a joke in his pocket.,0
201,"@CarolineVoaden @patel4witham Is that how little you think of immigrants?  They come with skills &amp; work ethics we need, they ate not slaves, to be abused!",0
