abuse,text_punct
0,RT Where was the SAFE SPACE for the  child victims of sexual exploitation The grooming gang coverup is Britain’s real racism scandal Government REFUSES to release grooming gangs review so ministers have ‘safe space’
0,A vulnerable  year old being manipulated and used  its you that needs to ask yourself some serious questions not me Stevie baby 
0,Oh dear oh dear now they have do their jobs i nearly feel sorry for them
0,They will tear it all apart again  they can agree on anything  I wasn’t being rude  just don’t want it to kick off again  See you for a pint soon 👍🏻
0,You’d have a lot more if you took better bets
0,Gobshite identification has nothing to do with misogyny
0,Whose money was used to produce the Grooming Gangs Review  Answer THE TAXPAYERS Therefore the review is owned by the public GIVE US OUR REPORT NOW
0,is this Greta Thunberg actively promoting school truancy Will she be arrested and prosecuted Why is she being allowed to come here and do this
0,
0,Greta get a grip love cuddling trees and shouting how bad we are isnt going to solve the problems its not just man or his practices that are the issue its a living planet that will change constantly So we hear you but your not right
0,A Bot Is it cold in Moscow today
0,With your bite size Educational tweets do you build walls as well need to build a big one around the country but leave Scotland they might get back in
0,RT We The People demand the release of the review into the MuslimRapeGangs WeThePeople
0,RT why the cover up Is it due to the massive ramifications that would result because some of the police amp councils are heavily involved somehow You wanted to drain the swamp correct Well this is the swamp amp these sub humans are part of it Drain it
0,Good morning Priti You either have a doppelganger or have taken to flying sheds for a living Check out the new Starling Bank TV advert
0,spreading toxicity
0,RT Nothing says “winning the lottery of life” more than waiting in a long queue to justify your entry whilst citizens of other European countries are given free passage
0,Just one eh
0,more sweeping under the carpet
0,👏👏👏👍👍
0,
0,do something about this POS please
0,RT So Priti Who’ll fill the coronation chicken sandwiches Who’ll dig cauliflowers out of freezing muddy Cornish fields Who’ll wash the hospital bedpans Who’ll clean our offices at night Who’ll feed bathe and care for our most vulnerable Asking for a friend
0,The highly competent Patel is going to show that pathetic shambles what it means to deliver Brexit and she has the country behind her
0,So true
0,RT There is more than a whiff of misogyny in all this stuff about
0,RT WOW In other words they do not give a flying FCK about the danger all British girls are currently in Instead for the sake of diversity they will not release the fact that it is cultural problems that are to blame release now This is FUING OUTRAGOUS
0,
0,You’re absolutely right I don’t know what goes on However following Brexit I’m sure there’s going to be some political upheaval Whatever happens I hope it’s what the people from both sides of the border want and that it happens fairly and peacefully
0,RT The Officials  want to run the country the way they see it but the Officials havent been elected to carry out policy and they arent obligated for responsibility keep doing your job despite the crocodile tears
0,She is not a Right Wing cult leader When you are sober of thought and feeling a little “ Kinder” you will thank this young woman for pointing out the obvious ☘️☘️☘️☘️
0,Tory BULLY Another USELESS Tory SACK her BORIS
0,Dear
0,As an ex science teacher with a first class BSc I don’t agree It’s propaganda
0,Minions  over paid over rated minions here to serve the country not their own narrow bigoted interests as they think they are superior rep of an establishment nobody wants anymore
0,Is this true The most significant part of this story by is the final sentence  that MI does not trust the Home Secretary
0,The idleness of  and how MI doesnt trust Priti Patel 
0,RT 🙄 The ridiculousness of amp Brexit bluepassport to be made in Poland by FrenchDutch company  so in effect Made in Europe Wheres your pride uh 🤔Why arent British passports made in Britain BorisJohnson PritiPatel
0,Exactly
0,RT Sarah Vines essential problem is that shes a Government voice masquerading as a journalistic one The eversnobbish Mail thinks it clever to have a Cabinet ministers sidekick on the payroll In reality it is risible
0,
0,thick
0,No there isnt Ive smelt the air and its definitely not misogyny imo
0,It is wickedness They are literarily wasting peoples life Boris Johnson lied to assist people with irregular papers but since he won the election nothing has been said abt it They treat foreigners with so much hatred
0,
0,Ooh its happened  listen to you  do u think we are still in the school playground as we are human we all make mistakes im sure you have made a few clangers  but we move on and in the case of Boris and Patel it is too deliver what the country voted for if u dont like it tough
0,Yay
0,RT The reason she kicked off was I repeated the factual statement made minutes earlier by Ursula Von der Leyen that the EU wanted to build an army They screamed “liar” while I was live on ITV which was utterly delusional They’d been at the same speech 😩
0,RT So as a society we believe women should have the right to choose to have an abortion But our law doesnt say that Did you know that in England Wales and Scotland any woman who ends a pregnancy without permission from  doctors could face up to life imprisonment
0,Yep and now this technical word tosser and wish that we would work as well
0,Carry on with the good work Priti
0,RT She’s winning the hearts of the nation 🇬🇧
0,Please stop your madness Please and  Just stop this racist dribble 🙏🏻
0,RT They dont want to release the truth because it willcause a nationwide scandal and people will then realise the true extent of the danger to young girls in our and we have a right to be informed
0,And you believe that she is the only one taking money from the state She is one of thousands of people using similar issues to avoid working for a living Seen plenty of stories of disabled people who claim while being able bodied
0,Imagine getting that triggered because of a  year old girl lol I’d be asking serious questions about myself if that were me
0,Oh goody another fascist for everyone to block
0,RT You will be sacked when your immigration system fails Your cards are marked already and everyone is telling you why your immigration system will fail
0,Educational tweet well thank you elite british person
0,Isnt required to Still didnt get fined for misuse of funds unlike St Farage the almighty that champion of virtue
0,RT The Home Office wants to derail in her determination to crack down on crime including getting police to take a more muscular approach against climate protesters Disappointing that supporting the Whitehall campaign against her
0,RT Priti Patel branded a hypocrite as violent crime in her constituency doubles  Mirror Online As she’s trending it seems fitting to remind to clean up her own back yard The police station is closed and is now offices ToryBritain
0,I suspect like the colour its symbolic Hello again Just checking in to say Im still up for hearing back 
0,Is she walking to the UK and swimming the channel
0,A great example of Little England think
0,Believe it when I see it Javid said all the right things did nowt
0,Slagging the UK off but happy to take tax payers money Has that made it clearer for you 🙄 FYI your hashtag is no longer relevant 😁
0,RT Labour are crying out for windrush report to be released but are keeping quiet on this onewonder why🤔🤔🤔
0,RT So you were saying
0,Obviously you must have missed the British citizenship part
0,view on the government’s immigration plans Immigration
0,There’s nothing wrong in the old passport is there so no need to change it  for what
0,Is it time we drug test suspected students at schools
0,There was never a Brexit plan Now we have one that will destroy the UK
0,RT Extraordinary EVERY TIME I read Matthew Parris in I totally disagree with him He’s far better suited to the GuardianHe gets it wrong EVERY TIME And wrong again now with here who is finally making much needed waves in the Home Office Keep it up Priti
0,Psst Dom it doesnt
0,Part of the problem all along finally acknowledged is that the risk of causing cultural divisionsocietal backlash which I get has been placed above the risk to children Arguably not publishing simply continues that and repeats the mistakes of the past
0,the HO and the Home Secretary by not fast tracking compensation and also by not taking the injustices against the windrush generation seriously are telling us that in no uncertain terms FUCK YOU there can be no doubt about this we are
0,Dark blue a new phenomenon for you is it 🙄 Youre mind will be truly blown when you see bendy bananas then 😁
0,I strongly agree with this
0,That’s incorrect
0,sort this scandal out NOW
0,Johnson is a proven liar and has been fired for it You might note he is not in a ditch Also Patel was fired for lying about a holiday in Israel You can’t rewrite history it’s happened and is still relevant
0,RT Not in the Public Interest are you shitting us Remember who gave you that stonking majority and why Government refuses to release grooming gangs review because it is not in public interest
0,Do amp realise that we hate the people in positions of trust and authority who provided cover for the rape gangs even more than the rape gangs themselves These were mostly Labour people but now are coveringup too
0,Well said
0,God help these people in the future if the tractor driver was Polish and the care workers Romanian BBC News  Storm Dennis Care home staff carried through floods by tractor
0,Spot someone who doesnt travel much that thinks UK leaving the EU means bigger queues at immigration 🙄
0,said its essential that free movement for artists is protected post PostBrexit says UK is “shooting ourselves in the foot shutting out artists who are the lifeblood of UKs £bn culture sector
0,Have you looked in the mirror lately
0,Your fault
0,RT I honestly dont think will do anything about this no one ever does I think it will finish in riots
0,She is trying but is being blocked by the House of Lords The House of Lords needs to be abolished once and for all
0,No you don’t Anyone in the world is entitled to move to the EU The checks and balances that are in place are largely ignored
0,So you think that the one person this morning could scrounge up is representative of the majority She is not And more to the point she’s proof that working was better for her finances than notZ
0,Yep we always controlled our borders and could have tightened the controls should our govt had wanted to
0,It really has pretty much been the only policy they’ve had since z
0,We’ve said that about all the leftie remoaners 🤣
0,You have seen the press release from the Home Office right 🤔
0,RT I’d forgotten about this but what does it say about the referendum if this was the level of debate over the most important peacetime decision made by the UK Ironically I doubt many of these chefs will get enough points under new immigration rules
0,Neither are Boris or Patel incompetent liars they have just delivered one of the best election victories in decades  if you dont like it tough
0,Of course not but there will a border in the Irish sea or between NI and ROI Thats for sure
0,How daft are you There’s big queues of people trying their hardest to get into North Korea isn’t there People risking life and limb on dingy’s paddling across the most congested sea crossing on the planet to get there 😂😂
0,And you can break the law and suffer the consequences
0,A price worth paying for sovereignty chap 😁🇬🇧🇬🇧
0,The Establishment said Brexit wasnt feasible we had project fear in spades  now Boris amp Patel are telling these over paid minions the country kicked out project fear amp we are delivering Brexit amp if they dont like it they can move on amp lets get dynamic people who can deliver
0,Ahh did you lose your big wage your chauffeur driven car your high life with all the free food and wine Brilliant just brilliant We don’t have to pay for you any longer Have you got a proper job yet 😂
0,Priti were behind you as our ELECTED representative Sack the no sayers clear out the civil servants now
0,RT The public already knows  We know  You know we know the Muslim rape gangs know we know the wider Muslim community knows we know Rotherham Rochdale Huddersfield groominggangs RapeGangs HomeOfice UKHomeOffice
0,These people have had it their own way for too long
0,
0,Assume this because and her back channel dealing with Israel or political
0,Hey I’d like to buy a batch can you remind me where you’re sourcing them from FacePalm
0,RT What is the point of The House of Lords This is ridiculous 
0,That doesnt mention colour  only from a remainer
0,UK The clue is  x AK found in a mosque in France wake up Europe How many armoury on UK soil pritipatel 
0,Dont worry isnt going anywhere
0,But remainers are the ones mentioning it 🤷‍♂️ colour heritage etc etc bizarre indeed But ofcourse with us having new passports they should keep it on the low 😏 why an earth wouldnt they flash it
0,Glad to see you’re taking responsibility for massively reducing the value of the UK passport
0,Firstly she should be dbs checked Anything she presents should be vetted to ensure it’s kept relevant to the curriculum
0,As a result of Brexit policy
0,Illegally disrupting childrens education is not a valid way to raise awareness Neither is vandalism or blocking ambulances getting to hospitals also seen from XR recently I dont agree with you but in a democracy you are free to make your point without lawbreaking
0,Good point
0,Are these the blue passports we could have had at any time we wanted
0,That last sentence And in a supporting paper too
0,Of course there is Just like theres more than a whiff of androgyny in all this stuff about Johnson Gove Sunak etc People are entitled to despise her as a vile specimen of the human race without being accused of misogyny
0,So you think that people who are so desperate to avoid work they lied to get less than minimum wage are the problem
0,RT Dear I was accused of bullying by a member of my staff once investigation was completed it was discovered that he didn’t like women in superior positions Incompetence is also a reason for bullying accusations Wishing you the best
0,well said would do well to remind themselves of this Lets fight PCwokeness and get back to the real world Protecting citizens
0,What a bizarre argument in view of Johnson and Patel flashing it about it wasn’t aimed at Remainers
0,You really are missing my meaning I do know we have a problem with our civil service shall we agree to agree
0,RT I stand with Absolutely love this woman she is just brilliant UpTheBoris InDomWeTrust
0,Does your Government have a Greater Number than ZERO  🙄☺️☺️
0,what have you got to hide The public has a right to know in order to protect our children
0,Thanks for the source Don’t get me wrong the police and Home Office should be pursuing and investigating this with full vigour but it isn’t the country’s and our elected leaders’ most pressing issue
0,Apparently Doctor Shipman always carried a joke in his pocket
0,Is that how little you think of immigrants They come with skills amp work ethics we need they ate not slaves to be abused
0,Im in a thread from a remainer that brought up colour hmmmm
0,RT This is what I like she takes no prisoners If hes not doing his job then he should be heading for the exit door permanently
0,I do believe that Given that half the residents in the block I live in regularly tell me how they dodged a job by lying about their circumstance The dwp dont have enough resource to investigate everyone Its just a cycle of lies and payouts for many workshy spongers
0,Only remain supporters do care about it though 🤷‍♂️sorry Ill finish that one off with ha ha ha like the way you started 👍
0,Priti Patel says there is no such thing as dabbling in drugs despite and other cabinet members having admitted dabbling in drugs cannabis drugspolicy
0,Brexit supporters are the ones who brought up colour
0,RT reveal the contents of this report We are not children we must know exactly the extent of this issue and why this has happened Do not attempt to sweep this under the carpet  ensure all those responsible inc police amp community leadersare exposed
0,Not very likely there’s been  years of chaos and their workload is increasing exponential In parallel our politicians have managed to make lying cheating and socially unacceptable dialogue no longer a reason for resignation
0,your plan wont work
0,Finally equality will be restored Thank you I hope from now it will be a level playing ground for people like us nonEU skilled migrants who pay thousands in Visa fees with NHS excess and get no social benefits Thank you
0,Ha ha ha well Brexiters are demonstrating their remarkable ability to volte face since no Remain supporter cared what colour it was until it suddenly was an issue for the other side despite a lack of any rationale as to whizz
0,👎
0,Have you not heard There will be no carbon footprint because is going to cycle over to Poland to collect them herself
0,Gets my vote Go 👍👍👍👍👍
0,It isn’t Thatcher wasn’t an incompetent liar They might think Brexit is a bad idea but it’s happened and their job is to ensure the country follows but is not harmed by government policy They aren’t useless they’re simply letting her know what she wants isn’t feasible
0,RT And we want women to be able to make decisions based on evidence – so that means we’re calling out companies that charge hundreds of pounds for “fertility drips” with no scientific basis Women deserve better than snake oil salesmen
0,RT Women cant start their families because of unfair restrictions to IVF services in this country Until January this year single women were banned from NHS IVF in South East London because single parents are a burden on society 🤮 So many more battles to win
0,RT We don’t just campaign on abortion rights From contraception to IVF infant feeding options to preventing neural tube defects our goal is to defend and extend reproductive rights across the UK – and across women’s reproductive lifetimes
0,RT We are part of a huge coalition of womens rights charities and medical bodies calling for abortion to be decriminalised to protect women And we want you to get involved Sign up here
0,👏👏👏👏
0,Is this the Blue Passport we could always have had as a member of the EU Is this the Blue Passport produced by a Polish company on behalf of the contracted French company I love how the symbol of Brexit is also a symbol of how well the EU works bluepassport
0,RT These are the women in the UK who cant make it to an abortion clinic and under our law they could still face up to life imprisonment If your want to join our campaign to end this cruel law sign up here
0,RT This is not on needs to make this public We demand answers
0,RT Outside those circumstances It’s a crime Any woman in GB who ends her own pregnancy without  doctors’ permission –from the moment she misses her period– can face up to life in prison This includes women who purchase abortion pills online
0,RT I suspect one reason why people in the Home Office the Establishment amp certain media are briefing against Priti is because they know she is trying to deal with the grooming gang issue
0,The UK government is weak lame and pathetic with a general attitude of “we owe the world a living” ineptukgov
0,Im not google but google is easy Heres one   white girls Probably a good few ginger haired you may empathise with rather than deflect
0,Yes knows that Thats why My family is currently in the UK in a PBS immigration system why not others
0,RT Obviously the chocolate soufflé is also delivered thanks to low skilled labour LowSkilled
0,We the public are best to decide what’s in our interests or not
0,Youre doing such a stand out job so far please please please dont let us down over this
0,RT Surely this is illegal surely this targeted disruption to children’s educated has to be stopped surely strikes come under trade union laws This child is being manipulated by others to act as their mouthpiece How Dare They
0,Cannot possibly get any more popular with me Go girl
0,RT Dont be ridiculous told you to get your facts right incinerators produce more co the any other form of energy generation inc woodburners we all know you are in favour of lungfill in your region prejudicing your own community pm
0,She’s absolutely amazing in my view we have  just  strong people on our side in rotherham and sarah is one of them Sarah as helped me in everything i face and her work is endless in the fight for justice the truth and for change 
0,Fix this
0,is wonderful A breath of fresh air
0,Future PM
0,
0,reveal the contents of this report We are not children we must know exactly the extent of this issue and why this has happened Do not attempt to sweep this under the carpet  ensure all those responsible inc police amp community leadersare exposed
0,he shouldnt even be here let alone have the nerve to try and preach to us
0,Katie Hopkins Love this woman  muslimpoliceassociation via
0,You have plenty of time on your hands now that your unemployed  EUwanker
0,RT I consider and most of our Tory government economically inactive
0,RT Most people in Britain can access an abortion right Well only in certain situations The  Abortion Act laid out some tightly defined circumstances where abortion is allowed IF it’s approved by  doctors Otherwise potentially jail
0,Start getting used to it I have some tips Bring a book to kill the queue Bring all your documents from birth to prove you are alive Be polite while questioned after an hour This has been our life Mister Welcome
0,House of Lords expense scandal
0,Yes you’re much more clever doubling down on all that sneering condescension that’s served you so well over the last  years 😂😂😂😂
0,RT Govt refuses to release grooming gangs review as it is not in public interest Disgraceful  what could be more in public interest than failings of state to protect most vulnerable Stop ignoring elephant in room youll make things worse
0,doing a great job 👏
0,RT Why are these Muslim schools being funded by the taxpayer Ban them
0,Bout time the service needs a wake up call they work for us you’d think they worked for themselves giving themselves big pensions and Knighthoods
0,RT Because of brave people like you telling your stories these people should continue to be outed Actually  can you explain to Jennifer amp indeed all of us why you wont publish the findings of your investigations We are losing faith in you
0,has anybody ever had a worse week in politics Why are so many cabinet ministers silent Drowning but not resigning  do the decent thing before you muck anything else up pritivacant
0,Is your friend on job seekers allowance Maybe they could do it
0,RT I like this lady  I am not supposed to like because apparently so the MSM tell me I am Racist
0,Hate Seriously Why
0,RT
0,Home Office’s immigration boss quit ‘after runins with Priti Patel’
0,Yet another double standard from Who is really running the show
0,RT Both  collaborate with and support the Save Our Curry Houses campaign set up by Vote Leave They said if we were to support leave they would ensure we were able to get more chefs from S Asia by relaxing immigration rules
0,thick
0,RT I have a far bigger chance of arrest just by criticising them absolute farce
0,Sublime👌👌👌
0,Go girl we need more people like you
0,wellummmhow to put it🤔
0,THEY WERE BLACK
0,This was so utterly predictable once it was clear that was engaged in challenging the cosy status quo that the senior civil service at the Home Office are so wedded to
0,RT Go Priti goget rid of the civil serpents
0,Sir Phillip needs to remove himself He is too used to getting his own way And how the hell does he get paid more than our PM  Ridiculous
0,
0,RT The HomeSecretary is Ms Patel not some jumped up jobsworth who appears to think the HomeOffice is his fiefdom He needs to be put on gardening leave 
0,RT Rutnam is ex Morgan Stanley attended Harvard hothouse for Fabians Yvette Cooper Ed Balls Obama Kissinger Al Gore Bush David Lammy He replaced Common Purpose Mark Sedwill at Home Office Likely he is Common Purpose Stand firm  youre doing great
0,Really Did anyone try to restrict flow of intelligence to Theresa May
0,RT Sack him Time to be rid of these civil servants Theresa May was so afraid of Civil servant at heart of Priti Patel bullying claims faces backlash via
0,RT  I challenge you amp Useless eaters amp yes you too to do my job for one weekthen after  days tell me if you felt unskilled amp feel your labour values at £ph saturdaynight
0,Deflection
0,English people
0,Quickly Quickly Let’s find a strategy I know we’ll be the victim here
0,
0,Throwing shade over isnt helping is it Josh Nonce sympathiser
0,
0,
0,
0,How to make lots of idiots happy A true blue British passport made in the EU
0,There is something particularly unseemly about this daughter of immigrants imagining that it is her place to be the arbiter of who may be welcome to migrate to Brexitland
0,RT What are you doing about these Extinction Rebellion types continuing to cause civil disruption and criminal damage
0,have taken  years to ready this plan So it’s all set for bed ridden grannies on Zimmers to mow the meadows Who’s economicallyinactive
0,RT It was in the interest of the public to pursue Flack Country is a joke
0,Don’t you just love it when flaccid men in beige spout off about strong women who are at the top of their game is terrific If you are still subscribing to do ask yourself why
0,According to they wont be able to retire they will be economically inactive according to so will be picking cabages from the farms next year as there will be no one from the EU to do the job
0,RT Should definitely be made public well done Katie for bringing it to everyone’s attention Come on
0,RT stay strong and get rid Home Office civil servant at heart of Priti Patel bullying claims obstructed and undermined successive home secretaries  but kept his £a year job despite being nowhere to be 
0,RT The anti capitalists are actually broadcasting their planned violence as they sit squatting in Paddington Green Police station
0,RT sort this out it needs to come out no matter how horrific an we expect it to be horrific to say the least
0,RT Just what we want to hear Well done 
0,RT What we need are the cold hard facts and cast iron actions from the top down that this is being dealt with and the guilty punished and more importantly that the victims are getting the right help and support
0,RT celebrating the removal of freedoms with a smug grin
0,I thot Britan had an equivalent of Trump I think the British thot so too Sorry old boy
0,Abolish the HoL problem solved
0,Still protecting these bankers
0,Just what we want to hear Well done 
0,RT Watched him squirm at parliamentary committee hearing when raised windrush people deported despite having legitimate nic numbers as never bothered to ask Dept of Work amp Pensions why possible Was Rutnam at Dept for Transport during west coast rail franchise cockup
0,It is called Managing they have not been used to it for some time obviously I would start throwing the word Misogomy around if they want to play games and call out stress and bully
0,RT Hey this is NOT acceptable It is completely in the public interest to know how and why and by whom this happened
0,Yeah awesomely stupid
0,The prison population but oh no that’s against their human rights God forbid they’d have to be punished for their crimes
0,
0,I think you missed the point Nicholas
0,RT All credit to for supporting over the briefings against our Home Secretary by civil servants We may not agree on The EU but she really has done the decent thing in helping expose how Home Office civil servants have their own agenda and it’s not ours
0,They are underpaying everybody Nothing to do with immigration There is a shortage of tens of thousands of jobs in the sector right now I as one of the economically inactive do not have the skills or patience to help out
0,Watched him squirm at parliamentary committee hearing when raised windrush people deported despite having legitimate nic numbers as never bothered to ask Dept of Work amp Pensions why possible Was Rutnam at Dept for Transport during west coast rail franchise cockup
0,Check his name
0,Well said I dont think and realise what a retrograde step this is and when linked to brexit becomes the symbol of an also ran nation on the world stage
0,RT Well we are still waiting for ours Priti When can we expect legislation and a resolution for children born outofwedlock to British Overseas Dads born before  July  whoa re denied rights to Dads citizenship by descent
0,RT 🇬🇧We support in all she is trying to achieve for the British Public 🇬🇧 Shame on the civil servants trying to undermine her 😡 they should lose their jobs
0,wanna talk about this
0,RT And a lot of girls who’d love to nurse don’t want to spend three years studying When it was SEN SRN they trained on the wards for three years there were plenty of nurses then
0,Gotta love pushing all the right buttons
0,Agreed and you dont get no bad taste in ya mouth with the countrys best smoked salmon
0,Oh it matches my eyes
0,Let’s hope so
0,It’s not alarmism it’s the reality of economics And a fall in the pound exacerbates it
0,Not In the public interest Mmm what exactly is going on It cannot possibly make them look any worse than they already look can it Or maybe it might and thats what they are hiding 😶
0,RT Shes been stella since taking office this could possibly be the one thing to knock her off the pedestal Ive put her on dont let us down
0,Presumably shes asked them to do their jobs and work in our interests rather than those on the wrong side of the law and it offends their liberal metropolitan sensibilities
0,RT So you support the cover up of rape gangs
0,RT It’s not easy making changes in government when the Civil Service tries block amp undermines you Also a problem for at Home Office so it’s not a bulling issue
0,Surely if the Brexit debacle was nearly derailed because folks were taking the Government to court to have it voided Then someone could also take the Government to Court to have these findings made public 🤔👍
0,doing just fine on her own from where Im sitting Patronising attitude sweetie you suggesting she cant cope I assure you she is on top of the situation or wouldnt be Home Sec would she
0,RT English Judges Rebelling on Brexit deadline amp still refusing to not use EU directives these Judges need replacing we are no longer in the EuropeanUnion Sort them out We want BritishLaws
0,I am a leaver and find your tweet appalling EU populous are just the same as us That is skilful kind brave criminal violent and every variation you can think of To suggest they are only good for menial tasks is truly shocking especially from a Ex MEP
0,RT What are you afraid of  Continuing the cover up will stoke fears that the problem is even worse than the majority of the UK know it to be
0,It was in the interest of the public to pursue Flack Country is a joke
0,Id do any of those jobs for the right money and thats what its about If the cost has to be part on to the consumer so be it No one should work for low wages
0,It’s not courage though is it it’s embarrassing and most are incredibly hypocritical in their actions I for one do not praise them and I doubt the majority of the British public find their actions beneficial
0,I completely agree it should be within the NHS However the direction of travel of this right wing Tory Government is to progressively dismantle the NHS in reality whilst making nice sounding PR statements Brexit has just made this process easier
0,Its not rhetoric Sabine Weyand and others said it themselves
0,NI is in UK now and a UI will happen well AFTER any Brexit trade deal So are you really going to put up km customs land border with  crossing points where the locals don’t want one
0,Lies exposed
0,Lobbying
0,Do I detect the faintest of smirks  Lol 👍
0,RT Wonder which unCivil CivilServant decided this Obviously it was one that knows better than the rest of the TaxPaying UK Public
0,RT Of course she does  but actually just trying to get the entrenched civil SERVANTS to do their job your pleas for claims of bullying will be ignored  either do your job or get outwe are behind what Priti Patel doesanything it takes to get you to work for the country is ok
0,RT Hiw are we going to get this report released 
0,What are you afraid of  Continuing the cover up will stoke fears that the problem is even worse than the majority of the UK know it to be
0,You say everyone knows but they don’t some people have bought that rhetoric but it’s still not true
0,I seem to recall a guy called William Wilberforce abolished the slave trade in UK
0,Trembling with fear at the idea of having to the job they paid needs to be the first of many ministers to sort out the weak quisling civil service departments🤔🤓
0,
0,Alex clearly then you’ve never actually listened to anything Ann Widdecombe has had to say on this very matter
0,Head in sand
0,Cool
0,Note too that Norway took action as long ago as the s to build and retain economic activity in rural areas lots of smallmedium scale hydro plants to provide electricity for homes and industry in remote areas The UK just encouraged people to emigrate
0,Everyone knows Brexit is messy and the EU are trying to screw us over NI Noone else will give a rats ass about it If UK doesnt enforce it its good for NI so not even the US IRA fellow travellers would give a crap
0,The Labour party is the enemy of the people now However these problems are now on the Tories watch and have been the last ten years
0,And fire that man Rutnam ASAP
0,RT It really is time got off his backside and showed some support for his main minister
0,RT As a retired senior civil servant I have the greatest respect for Priti Patel and for all Secretaries of State who lead from the front I was fortunate to work for another female Secretary of State who did just that Gillian Shephard MP She was like a breath of fresh air
0,Well strictly they are since they have a contract of employment That being said for all the flexibility that zero hours contracts are meant to have how can anyone on one expect to get on the housing ladder with no reliable source of income
0,You appear to have a questionable attitude towards European citizens who come here to work Ms Voaden I have  friends from Greece Slovakia amp Poland  an oil industry consultant hairdresser amp professional photographer respectively If you’re not embarrassed you should be
0,RT Priti Patel faces fresh bullying claims as allies defend her via The question being asked by are on the lips of the public at large Sackhim
0,RT People who are earning the UK living wage EU citizens are not being expelled from the UK Their earning far more than they do in the EU
0,didn’t you say this would be released I can’t imagine anyone will be surprised I think transparency is the safest option People are getting angrier and angrier
0,Its your misconception Educate yourself about Islam and remove your misconceptions and cure Islamophobia
0,Whats good for the goose
